"","homedrives50","homedrives20","oppdrives50","oppdrives20","hometouch","opptouch","homeyards","oppyards","hometop","opptop","home1sts","opp1sts"
"ARI",17,2,27,6,24,52,4756,5872,26.5,33.5,253,345
"ATL",27,4,26,3,25,46,4380,5749,29.6,30.4,256,308
"CAR",26,2,29,3,30,35,5036,5882,29.9,30.1,304,304
"CHI",15,1,22,5,22,43,4741,5464,28.5,31.5,239,297
"DAL",22,3,30,4,31,41,4724,5518,28.7,31.3,276,309
"DET",40,12,31,3,33,32,4739,5195,30.2,29.8,264,279
"GB",28,4,25,5,36,37,5559,5313,30.8,29.2,315,284
"MIN",21,1,21,3,47,42,6148,5915,29.5,30.5,319,344
"NO",23,3,24,2,41,36,5641,5121,31.4,28.6,312,279
"NYG",32,4,24,4,39,30,5619,4825,31.6,28.4,310,274
"PHI",22,3,23,5,38,23,5268,5111,29,31,295,295
"SF",24,4,20,2,49,49,6201,5979,29.6,30.4,334,347
"STL",25,4,27,3,67,55,7335,5782,30.9,29.1,380,321
"TB",28,5,31,3,42,29,4890,5132,29.6,30.4,275,283
"WAS",23,5,24,4,32,26,5640,4757,31.4,28.6,308,254
"BAL",49,11,17,2,32,18,5301,4145,33.3,26.7,288,216
"BUF",20,3,29,4,34,37,5858,4734,31.4,28.6,309,252
"CIN",13,2,43,7,21,40,4533,5655,27.2,32.8,254,307
"CLE",18,2,39,5,17,46,3813,5913,26,34,176,343
"DEN",27,5,21,2,57,44,6788,5795,33.2,26.8,383,294
"IND",14,2,16,4,50,37,6272,5609,29.6,30.4,357,310
"JAX",30,5,28,4,40,39,5979,5092,31.5,28.5,318,252
"KC",21,0,23,2,43,42,5873,5559,27.6,32.4,321,330
"MIA",22,5,21,0,34,23,4614,4906,30.7,29.3,251,289
"NE",30,2,21,5,28,38,4851,5525,28.9,31.1,283,326
"NYJ",29,4,26,4,36,33,5494,5054,30.3,29.7,308,267
"OAK",30,7,14,3,57,34,5900,5527,31.9,28.1,337,320
"PIT",37,6,22,6,35,24,4986,4942,31.4,28.6,283,252
"SD",19,4,47,9,31,49,4602,5208,28.1,31.9,251,312
"SEA",25,1,22,7,37,46,4918,6543,27.5,32.5,281,331
"TEN",32,3,16,0,38,20,5514,4151,33.8,26.2,299,215
